ctlabel,EP_POV,EP_UNEMP,EP_NOHSDP,EP_AGE65,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_UNINSUR,ARTHRITIS_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,occupation_PERC_Management,occupation_PERC_Service,occupation_PERC_Sales,occupation_PERC_Natural,occupation_PERC_Production,PERC_MALE,landusejoin_sum1,landusejoin_sum23,landusejoin_sum4,landusejoin_sum5,landusejoin_sum6,landusejoin_sum7,landusejoin_sum8,landusejoin_sum9,landusejoin_sum10,landusejoin_sum11,maypercpos_Predicted,maypercpos_StdError,maycaserate_Predicted,maycaserate_StdError,maydeathrate_Predicted,maydeathrate_StdError,augpercpos_Predicted,augpercpos_StdError,augcaserate_Predicted,augcaserate_StdError,augdeathrate_Predicted,augdeathrate_StdError,wt_aug6_CASE_RATE,wt_aug6_DEATH_RATE,wt_aug6_POSITIVE,wt_may18_CASE_RATE,wt_may18_DEATH_RATE,wt_may18_POSITIVE
44,10.4,2.5,2.3,15.7,9.5,4.1,29,1,97.2,0,4.1,74.4,0,6.2,15.1,19.2,6.1,8.2,3.4,3.2,8.8,5.4,12.9,1.7,69.3903,9.9981,17.4304,1.0415,2.1397,42.0942,0,0,93.5186229,0,0.002094096,21.37727413,0,1.50238944,0,0.371322786,23.71656065,0.184229261,1173.786516,12.74393234,92.30229864,2.270866933,6.617163566,0.079326317,1421.656926,14.16690163,98.39378331,2.141151071,1371.901004,117.4412257,6.889694444,1118.293208,107.2324875,25.84901759
45,4.6,2.6,12.5,12,4.5,5.6,38.7,8.8,53.4,0,20.9,69.6,0.5,3.6,15,20,5.5,7.9,3.6,3.7,12,6,14.3,1.8,58.3012,7.3359,24.3243,1.3514,8.6873,52.0197,0.031844636,4.005437787,8.373018904,15.84221176,0.072869638,0.253616425,0.152248613,0,0.578460063,0.105104894,22.60294577,0.251904557,749.2795026,19.06266511,56.65073934,2.967888573,5.2460945,0.118658117,963.2041531,21.03448606,66.65675778,2.904453656,997.2125551,62.01957221,4.835880294,790.1889753,52.27252985,22.25542961
47,8.6,3.5,0,18.5,5.1,4.9,25,0,59.6,0,5.4,82.4,0,6.8,14,18.4,5.6,7.9,3.2,2.9,8.8,4.9,13.9,1.5,72.3955,3.5833,22.6941,0.7963,0.5309,54.4275,0.784914805,13.46205922,28.75061454,14.77104577,0.219798449,0,0,0.311949435,1.280234834,0.306989431,20.39925478,0.085430495,699.2532686,6.430775437,20.90784592,1.011152291,3.937756717,0.040029225,895.5053699,7.098238185,25.7395121,0.985678392,1006.810475,63.35711011,4.845486283,798.0455215,53.53321985,22.28194214
48,10.3,5.4,1.4,13.7,9.4,0,29.3,0.6,83.4,0,3,79.5,20,2.6,13.3,17.5,5.1,8.4,3.1,3.1,10.5,4.9,13.3,1.5,71.3861,6.6739,20.0757,1.432,0.4323,45.7673,4.884774776,26.37368241,12.54913839,1.694266203,0,0,22.7868452,11.21794922,0.283861895,0.489664605,18.73724558,0.053629544,741.4220108,3.64782658,62.47802653,0.679002283,4.65432113,0.022706386,907.1923806,4.055147191,61.64236668,0.625562841,959.09607,63.2021115,5.080070448,799.2424203,55.76200369,22.1401444
49,9.2,3.7,0.8,17.9,6.7,1.4,22.3,2,77,0,5,80.3,1,4.9,14.9,19.2,5.9,8.1,3.6,3.3,10.2,5.1,14.1,1.6,73.9358,8.8974,15.0384,1.1863,0.9421,50.4989,1.232643149,46.26706426,56.29504523,35.94005298,0,0,4.815391842,2.663558599,0.842204226,0.340835355,21.99892954,0.049403764,684.2945105,3.596639334,35.9217259,0.598718779,4.682441508,0.022387764,875.8883898,3.978891245,45.56480287,0.572156651,823.1075038,37.7861419,4.66232858,647.5608803,29.39640057,21.78076014
50,6.8,6.4,0.7,12,4.9,0.9,21.9,0.7,89.5,0,4.7,74.8,1.2,3.6,14.3,18,5.9,7.9,3.1,2.9,8.6,4.7,13.1,1.5,78.1712,2.6206,17.7865,0.7806,0.6412,47.3472,2.756941014,21.88847605,14.04776909,16.33045553,0,6.097760693,5.747430265,4.647096532,0.415105289,0,18.10047258,0.051268511,689.4418834,3.606034206,51.01454563,0.636316034,4.295175746,0.022446244,839.4722606,3.99870507,50.98504472,0.596021694,959.1821244,62.91743504,5.048673507,797.7344732,56.13717097,21.82046978
52,10.6,5.3,0,12,4.6,6.7,26.8,1.5,88.8,0,1.5,67.5,22.2,0.7,11.7,15.3,4.6,8.1,2.6,2.6,9,3.9,12.2,1.2,67.6164,3.726,27.726,0.4384,0.4932,53.4803,0,6.719415429,13.92620482,23.29998502,0,0,4.658692762,8.527185656,1.045510104,0,19.09920823,0.279513336,743.8930617,21.20632672,54.91428596,3.286140434,4.464948477,0.132001626,915.2123507,23.39617102,59.08893754,3.221750308,959.327385,62.58238561,5.011334642,795.9678668,56.58838736,21.43929881
54,4.1,2.8,3.4,16.1,4.2,2.3,24.3,0.7,87.4,0,4.4,73.5,4.4,0.5,15.2,19.6,6.1,7.9,3.5,3.1,9,5.3,13.7,1.6,81.4647,1.1017,15.1977,1.0045,1.2314,51.6721,0.259892568,12.43853727,12.09905345,31.20387347,0,0,4.034727618,0,0.525071855,0.541857936,21.15453878,0.367911801,878.5481239,27.85921834,58.38715213,4.331746671,4.990112277,0.173413442,1090.54524,30.73990312,70.01336416,4.241620314,1188.940541,84.6918659,5.558149798,978.8969967,66.29036564,23.92434773
55.01,7.7,1.6,2,16.5,5.4,6.6,34.2,0.4,99.3,0,9.8,75.5,10.9,1.1,15.3,19.5,6.6,7.7,3.5,2.9,7.5,5.1,12.7,1.6,90.5195,3.1475,5.4987,0,0.8343,47.0524,0,8.775178656,4.306415429,7.786006842,0,0,47.12981653,1.758348511,0,1.711931091,21.95857076,0.042532594,667.8311569,3.139544283,33.46071447,0.511207075,4.718057156,0.019542515,846.0707436,3.469735584,42.64885882,0.491888138,821.5379423,37.54080945,4.660176859,646.4043808,29.20118843,21.7701558
55.02,15.3,6.9,4.7,10.9,11.8,2.1,20.8,0.4,72.9,0,6.4,73.5,9.6,6,12.6,17.6,4.7,8.1,3,3,10.8,4.8,14.6,1.5,72.5318,6.051,20.5414,0.8758,0,54.3468,0.115654044,17.68174924,19.89908032,18.76122996,0,0.145448556,1.36065089,0,1.651435082,0,22.65447866,0.0479565,685.2598435,3.011627845,41.4355053,0.630903408,5.081116715,0.018746282,864.5850562,3.370446307,50.27939141,0.563255426,837.269984,40.47570967,4.708196897,663.8844704,32.23897958,21.81246144
56,18.5,5.8,7,12.6,8.1,0.7,29.1,2.1,93.4,0,3.2,73,7,2.5,12.8,18.3,4.4,8.4,3.1,3.3,12.2,5.3,15.6,1.6,74.5763,3.7563,19.606,0,2.0614,47.4755,0,6.685566508,15.02055535,38.46046326,0,0.695729517,1.569619977,18.47975735,0,0,18.72990924,0.285985621,898.8291524,21.64622535,60.76241303,3.368953025,4.938353742,0.134739834,1122.981277,23.88494798,66.84881835,3.297332187,1039.335804,63.52666691,4.86507485,837.8403579,65.38293589,17.63848877
57,1.3,3.4,2.3,18.7,6.8,1.3,19,0,91.4,0,1.5,73,0,0.3,15.2,19.2,6.8,7.6,3.5,2.8,7.3,4.8,12.4,1.6,84.1731,2.6082,12.626,0.5928,0,47.5984,0,4.860387003,7.333344442,12.51696499,0,0,4.208320398,0,1.027623663,0.407088178,21.86727202,0.110191959,730.6669389,8.311534702,44.15380217,1.301854633,4.862769619,0.051736263,894.1742306,9.173102947,51.7995354,1.271033397,959.0799945,63.19999897,5.079999983,799.2299938,55.75999893,22.13999999
58,4.2,5.2,2.5,7.7,3.4,3.1,36.6,4.5,93.9,0,1.9,79,0,2.8,8,11.7,3.2,7.6,1.6,1.8,8.8,2.9,11.8,0.8,69.9846,5.2267,22.5596,0,2.2291,53.5075,0,4.445708672,15.42165897,35.13471885,0,0,3.368640488,0,1.565942992,0.117525039,19.75224505,0.358094493,960.0474843,27.08197269,60.40983257,4.221201186,5.115839444,0.168575373,1202.266125,29.88441273,71.83940019,4.129140758,1113.949502,67.3112067,4.970923086,892.8658786,63.66548044,18.35350316
59,2.6,3.6,0.3,21.9,4.3,1,19,0.6,93.2,0,3.6,67.6,15,1.1,16.4,20,6.9,8.1,3.9,3.4,8.6,5.2,12.8,1.8,73.7098,6.9133,18.8251,0,0.5518,47.3425,0.695522944,14.26082304,10.90077828,2.309454259,0,0,12.55597482,0,0,0,22.78956209,0.155022474,795.7215423,11.72485594,53.56222783,1.827449124,5.013565289,0.072982939,975.9678104,12.93804329,64.74613234,1.787542717,959.0850028,63.20047559,5.080011252,799.2339526,55.76021921,22.14004742
60,5.5,2.2,1.1,17.1,9.1,2.2,24,1.5,100,0,4.5,70.5,0,0.8,20.4,24.9,9.5,7.6,5.3,3.8,7.2,6.4,12.7,2.4,78.7976,6.204,14.9984,0,0,51.2154,0,0,51.20790787,0,0,0.174991704,0,0.032552084,0,0,18.41127277,0.325863124,847.1925309,24.43531998,81.01511693,3.865828278,5.042586577,0.152100928,1060.108833,26.97889049,78.61344065,3.761223493,961.0113408,58.71808984,4.581119978,775.5971402,61.79556007,17.04598682
61,3.1,5.7,0.7,11.5,6.3,6.1,26,0.8,81.6,0,5.5,70.2,27,1.9,11.3,14.6,4.4,8.3,2.5,2.7,9.6,3.7,12,1.2,73.6785,6.0518,18.9209,0.2917,1.0572,48.7304,0.747952605,14.76877191,10.53513257,14.91838399,0,0,6.887811012,0.18804597,0.201463384,0.025853586,22.3147164,0.192997201,826.6428679,14.63426459,59.19997354,2.270200349,5.044327659,0.091092943,1006.308717,16.14596947,69.29868257,2.224709292,959.090089,63.2009591,5.080022691,799.237971,55.76044207,22.14009563
62,28.7,5.9,16.8,13,8.9,0.6,57.4,5.3,97.7,0.4,6.1,82.2,37.4,7.9,13.8,21.6,4.4,8.6,4.1,4.1,13.6,7.4,16.2,2.1,64.6539,8.3456,20.2258,4.1237,2.651,55.6767,0,1.77955962,12.75434479,8.670951432,0.373467146,5.51579419,92.80397069,6.925692027,0,1.746587005,16.96431769,0.348828449,858.1347948,24.11229672,82.34113079,4.341018957,4.866433046,0.150090226,1078.953653,26.78383732,75.88555388,4.059098778,1170.408332,71.59130461,5.340653949,942.0067409,71.40002389,18.63589271
63,7.2,2.4,0.5,24.9,10.7,2.3,17.4,0.4,83.1,0,2.9,71.6,3.2,3.4,17.1,21.4,7.2,8,4.2,3.5,8.6,5.6,13.9,1.9,80.5722,2.5488,15.8908,0,0.9883,44.4855,7.413364495,30.04716217,16.28963907,9.922125138,0,0,6.632241365,0.070779682,0,0.00136233,23.0663197,0.265508632,857.5575496,20.10498687,62.61525385,3.126590557,5.084748755,0.125146188,1059.870682,22.18372367,76.51494682,3.061072152,1208.004196,86.86508694,5.639796541,995.8898025,66.66834969,24.49936876
64,8.5,2.9,3,12.9,5.9,0,27,1.3,84.6,0,1.1,78.7,4.9,6.1,13.6,17.6,5.4,8.2,3.1,3,9.5,4.8,13.1,1.5,73.5825,6.5367,14.9874,3.9545,0.939,49.9359,0.475856579,20.48011531,15.89820032,3.396275663,0,0,15.13106142,1.096618971,0.703126945,0.279504708,17.19640639,0.09045674,757.9388322,6.68652822,64.89946501,1.084918804,4.58603265,0.041621192,938.2359429,7.389411854,61.03537347,1.045850315,960.4023365,59.54350195,4.674615418,779.877375,60.64096733,18.00504969
65,8.7,3.9,3.2,12,5.7,2.2,24,1.1,85.8,0,8.7,88.6,13.2,4,10.8,14.4,4.3,8.3,2.5,2.6,9.9,3.7,12.3,1.2,65.8757,5.7241,23.4834,1.7368,3.18,46.5359,1.834320262,9.422875524,17.52388235,1.431926235,0,0,7.770406731,18.08757112,0.897675943,0.001237477,22.57191904,0.131547697,736.6192765,9.87860237,45.58706794,1.559813983,4.820170697,0.061490686,941.136179,10.90561027,57.98720601,1.518195723,895.7862047,48.91772703,4.864970231,720.1984457,39.49921125,22.15358477
66,21.1,2.3,11.4,24.2,14.3,0.8,41.4,10.9,92.5,0,5.3,80.7,1.5,1.8,14.9,20.4,5.3,8.9,3.8,3.9,12.3,6.7,14.7,2,74.996,9.8717,14.3559,0,0.7764,51.8975,0.06675197,36.60638465,25.77242373,1.329491686,0.129841762,0.147217248,10.85662466,4.334154983,0,0,17.23912584,0.165876588,808.9790828,12.61245783,72.71823474,1.944861856,4.734252383,0.078507936,1015.277467,13.91395382,68.84475008,1.911217649,1298.051516,79.44431008,5.803664525,1043.444503,77.25575723,19.60729616
67,4.6,3.7,0.5,13,8.3,0,15.1,0,81.9,0,3,84,0.2,5.7,12.4,16,5.1,8,2.7,2.5,8.9,3.9,13.1,1.3,70.5625,5.3429,21.8084,0.6679,1.6183,49.3349,7.753211058,21.42920124,22.04349254,4.191050475,0,0,4.8606585,5.48516058,0.872290392,1.562726776,23.28738189,0.102118853,822.5678342,7.489176063,61.19934653,1.232286061,4.937388905,0.046617381,1064.246198,8.280658561,76.99922803,1.181794742,1175.745965,93.41463104,5.169951008,911.6045154,74.08568677,24.13977233
68,10.2,7.4,0.5,10.4,6.4,1,37.2,0.5,94.9,0,4.2,81.6,18.6,2.2,10.9,15,4.2,8.3,2.5,2.6,9.7,4,12.5,1.3,69.7357,5.5579,22.1057,0,2.6007,48.7169,0.678482805,15.92112068,20.03704443,18.21265049,0,0,17.20883667,0,0.259618359,0.003798235,17.71684124,0.130671707,835.9220662,9.913765928,62.10739252,1.53641393,4.769471307,0.061709566,1040.335527,10.93746751,62.57701295,1.50617443,1117.757646,68.35244396,5.149712487,900.1674623,68.98417181,18.23561242
69,2.9,1.6,0,11.3,5.2,0.9,24.5,0.5,87.1,0,4.2,62.9,12.9,1.5,10.8,14.3,4.2,8.1,2.1,2.3,9.5,3.5,13.5,1.1,76.8068,4.6649,17.6084,0,0.9198,55.4102,1.522125649,8.764293252,10.7596674,12.65789538,2.147875431,34.98392306,4.24842511,0,2.39729756,1.364213674,24.65846193,0.153130464,972.9620322,10.81770101,95.56562585,1.892902981,5.436184504,0.067336231,1265.925712,11.9926679,116.6915812,1.779176292,1175.78,93.42,5.17,911.63,74.09,24.14
70,10.6,2.2,0.9,11.7,5.8,0.5,33,2,85.4,0,1.5,80.3,2,6,11.9,16,4.9,7.9,2.8,2.5,9,4.3,12.4,1.3,84.0345,2.9947,10.068,2.5354,0.3674,41.8853,1.941000149,15.4484745,31.06294781,4.40784299,0,0,4.204253465,0.96778144,0,0.611818994,11.50913023,0.200874049,244.8891677,14.34769468,30.83038228,2.424120763,2.204505988,0.089309151,327.3903441,15.91233212,24.51252658,2.326709531,1523.058773,93.28746357,6.619850453,1222.257237,87.57810867,21.31968624
71,6.2,2,2.5,18.1,7.1,2.4,21.3,0,77.7,0,2,81.4,7.4,2.8,15.1,18.9,6.2,8.2,3.5,3.2,9.4,4.9,13.4,1.6,77.0681,5.9948,15.7592,0,1.178,48.862,5.889007535,20.39879456,22.02677275,3.44905073,0,0.174485544,8.165014963,1.560258902,0.369828165,0.147061377,23.42201643,0.224429467,849.6228117,16.90243087,60.57235962,2.653678062,5.106076984,0.105211449,1067.580839,18.65663265,76.53459051,2.589112477,1194.727784,89.57645752,5.445796178,961.1090079,69.73594119,24.35124814
72,11.6,3.8,3.1,8.2,3.7,0.1,28.1,7,83.5,0,4.7,79.9,4.2,2.8,10.5,14.2,4.1,8.4,2.4,2.5,9.9,3.7,12.1,1.2,69.8567,6.1891,20.8405,2.6361,0.4776,43.2936,1.419602752,15.6396675,24.02003166,13.05005423,0,1.281186386,6.762115902,0,2.130738861,0.507836546,21.50947171,0.114137243,1236.759999,8.635118942,88.24612553,1.34508793,6.567861292,0.053750456,1544.730087,9.528450803,94.49721217,1.316046539,1523.1,93.29,6.62,1222.29,87.58,21.32
73,7.4,7.8,1.3,14.8,6.5,0,16.2,0,71.3,0,1.5,81.2,0.1,5.8,13.7,17.6,5.7,8,3.1,2.7,8.5,4.5,13.6,1.4,79.1344,4.6035,14.7361,0,1.5261,52.6584,9.90044969,32.63384208,26.22576055,2.737018575,0,0,5.073663661,0,1.26666246,0,23.79503592,0.089506047,870.463277,6.739559074,66.48088466,1.058553672,5.101896638,0.04195129,1116.705262,7.439101365,84.37023528,1.032609833,1175.78,93.42,5.17,911.63,74.09,24.14
74,7.6,2.8,1.2,12.4,2.6,0,27.3,1.9,94.7,0.4,3.6,89.7,14.1,1.2,10.4,14.1,4,8.3,2.2,2.4,9.5,3.7,12.1,1.2,74.3126,6.0564,16.0808,2.9586,0.5917,48.2156,0,8.629091074,17.03028933,51.19854824,0,0,3.252621788,0,0.496560952,0.433907358,22.11089509,0.256186674,1314.359534,19.34188059,78.5285442,3.024162929,6.519480524,0.120396131,1646.340593,21.34563979,89.68339427,2.954679207,1523.178623,93.29358968,6.620030825,1222.345885,87.57567613,21.32082386
75,5.7,6.6,0.6,15.6,6.4,3.6,17.1,0.1,82.4,0,0.6,72,0.3,3,14.7,18.7,5.9,8,3.2,3,9.3,4.8,14.2,1.5,79.9033,6.4841,13.6126,0,0,47.5197,3.120789457,19.76634114,7.939658541,1.56399901,0,0.239902996,1.337005906,0,0.856182562,0.761986758,24.62098196,0.12889047,973.4998735,9.757811986,84.67342082,1.517928474,5.293062193,0.06073881,1258.709147,10.76689871,105.8894223,1.486016144,1175.78,93.42,5.17,911.63,74.09,24.14
76,12,3.4,5.5,9.1,5.1,1.8,58.6,5.3,95.4,0,7.5,88.9,0,2.6,9.5,14.6,3.5,7.6,2.4,2.3,9.4,4.4,11.4,1.2,78.369,3.179,17.8991,0.5529,0,45.9568,0,2.423378232,7.031666806,38.31939729,0,1.53973766,0.696466711,0.274142246,0.712460597,2.554785715,21.83306217,0.310482263,1280.544517,23.39952105,72.08744641,3.670265583,6.316750706,0.145653458,1616.765629,25.82655211,90.17294641,3.581656889,1803.653503,106.0988223,6.729993754,1421.708788,72.15092244,24.2598043
77,7.7,4.5,1.5,13.7,7.7,1.3,17.4,0.3,79,0,0.4,82.1,0.3,4.3,14.4,18.6,6,7.9,3.3,2.9,8.9,4.8,14,1.5,69.1838,4.3862,21.9308,2.7357,1.7635,52.7383,12.18607014,34.97271575,28.54800413,3.886057972,0.420894309,0.751822094,7.907719379,8.361350086,0,0.534432676,24.21665329,0.132148339,927.9324756,9.651354924,69.57555263,1.59737221,5.31555767,0.060076154,1166.744727,10.67495739,89.07811704,1.529842756,1183.662389,91.8210638,5.284732826,932.2135573,72.27868602,24.22788046
79,13.8,7.3,1.9,21.4,7.6,4.1,11.1,0,76.6,0,4.9,69.8,0,1.1,17.1,21.9,6.9,8,4.2,3.6,9.5,5.9,14.9,2,70.1771,6.2908,22.274,0,1.2582,47.9562,5.734332439,34.10209739,11.34758122,22.43874184,0,7.100703315,1.882543748,0,1.983173621,11.05033802,25.38186702,0.131113155,973.9492175,8.327974687,88.10525796,1.717611085,5.431209116,0.051838596,1186.656058,9.309882668,107.7008318,1.538702843,1175.780471,93.41990445,5.170006856,911.63123,74.08989176,24.14000525
81,10.3,3.9,4.9,13.8,9.5,2.1,28.1,2.5,85.9,0,5.8,83.8,2.3,2.3,13.8,18.6,5.4,7.9,3.3,3.1,10,5.2,14.6,1.5,74.2639,6.7462,17.8904,1.0995,0,52.8086,1.788624722,47.88605297,44.67121986,6.965815482,0.161617542,0.74298493,4.10332896,0,0.378692825,0.223517563,22.5208265,0.339619343,909.774965,25.77688065,61.61238093,3.99126958,5.133859907,0.160451652,1127.024457,28.43803587,77.42507107,3.914336663,1208.07,86.87,5.64,995.95,66.67,24.5
83,25.4,12.2,10.5,12.4,17.5,6.6,57,7.5,86.8,0,4.7,91.8,0.1,13.5,14.8,22,4.8,8.6,4.1,4.1,14.4,7.8,17.8,2.1,56.3006,13.1863,28.9829,0,1.5302,48.9854,0.428384386,17.02065032,7.864606382,30.85904276,0,1.045771639,5.238027673,1.121493787,0,0.077172323,23.19454847,0.145658596,860.6600252,10.28277176,86.49751364,1.796441322,5.821198407,0.064006492,1104.013334,11.4021092,118.5110578,1.691977897,1201.954499,88.11052438,5.550985273,979.9803793,68.07529632,24.43181851
87,5.1,1.8,3.6,11.6,3.7,1.4,27.6,2.9,84.4,0,4,84,0,3.3,11.8,16.4,4.7,7.6,2.7,2.5,9.7,4.4,13.8,1.3,68.6134,5.6015,22.9017,0.5877,2.2957,55.7751,1.309853078,19.03707602,16.30206531,11.64968924,0.364824841,0.977449981,2.165078553,0.436661948,0.866744707,0.539527847,22.08788262,0.353793152,975.2695623,26.80901343,61.7370826,4.163395214,5.288946881,0.166876301,1213.283997,29.57972403,78.72504218,4.078518826,1208.05222,86.86797443,5.639923807,995.934144,66.66964851,24.49946378
89,20,4.3,7.3,11.1,6.5,6.9,32.9,2.2,73,1.3,9,78.7,6.4,3.1,14.7,20.3,5.2,8.3,3.8,3.8,12.7,6.2,16.3,1.9,72.644,7.8582,13.9439,2.3929,3.161,56.1397,10.28200281,50.36512174,18.54948925,6.801099604,0,0,15.67016517,3.43226325,0,0,22.70133914,0.1494549,913.0508294,10.62973718,94.82373069,1.83704654,6.226223424,0.066166225,1191.762795,11.77953077,133.9198347,1.734984175,1208.07,86.87,5.64,995.95,66.67,24.5
91,13.3,3,6,6.2,10.5,1.6,30.7,1.5,91.5,0.7,1.9,81.7,1.7,2.4,12.8,18,4.7,8.1,3.1,3,10.7,5.1,14.8,1.5,70.808,5.1911,20.2433,0.5647,3.1929,56.1229,0.919915076,18.81095337,21.03999988,19.48081092,0,0,4.783035805,0,0.106452569,0.132984119,21.18901581,0.3008242,959.5424695,22.7349411,78.03041494,3.548109222,5.770724473,0.141516691,1220.949849,25.08864033,103.3338457,3.469060963,1424.439527,93.85438329,6.03593032,1150.620467,68.66058117,24.4122551
93,11.9,4.9,8.3,22.7,9.4,3.5,44.8,8.4,91.1,0,2.8,75.8,0.2,3.2,19.9,26.4,7.4,8.2,5.5,4.8,11.7,8.3,17.2,2.6,55.2466,18.4036,19.2825,1.1121,5.9552,47.9806,1.942367385,49.74412735,9.894842347,0.077455173,0,0,2.949796049,2.157529207,0,0,18.99295103,0.056064928,299.7735497,4.124012745,174.7330328,0.679279047,6.670317245,0.025670471,506.9759017,4.557694554,226.1316018,0.648996621,1425.179871,93.87977639,6.037330019,1151.152938,68.66758578,24.41251449
95,15.2,9.2,3.6,7.7,2.7,1.3,28.7,1,81.5,0,5.4,77.8,29.9,4.8,9.3,13.2,3.1,9.3,2.1,2.7,11.2,3.6,13,1.1,67.8169,7.8873,21.7606,0.6338,1.9014,40.2146,0,6.356066766,14.06822441,34.44262121,1.398005048,0,14.61937642,0,2.814240399,0.460779548,21.84269509,0.268435498,1154.030266,20.26952244,75.81498869,3.168325393,6.15575858,0.126170362,1469.976801,22.36920252,102.3748631,3.095888934,1803.643706,106.0985212,6.729932937,1421.699839,72.14967654,24.25977479
97,19.9,5.9,11.9,34.3,16.1,4.1,49.8,8.4,98.2,0,1.7,83.7,0.6,5.8,23.2,32.1,8.3,8.4,7.4,6.2,12.8,11.6,18.4,3.7,55.3266,14.2691,25.8165,0,4.5879,52.7291,0,32.78922553,3.208583348,0.078672925,0,0,19.33468867,7.043801978,0,0.32905426,22.1742115,0.038175167,875.0049627,2.816067964,114.5815019,0.455608139,6.801403271,0.017528993,1178.447012,3.114062802,159.7143176,0.441147923,1803.67,106.1,6.73,1421.72,72.15,24.26
99,8.1,4.6,5.5,3.6,3.5,3.2,39.5,4.9,97.7,0,3.7,85.7,0.1,6.1,10.2,14.8,3.6,8,2,2.3,10.6,3.9,15.1,1.1,71.7351,5.8145,20.7199,0.2307,1.4998,55.2006,0.004011708,2.207663127,10.17009583,14.25057464,2.29885426,13.58081332,8.500070352,2.827178226,2.693756329,10.14892039,-4.082329184,0.62107775,-5315.035842,41.97339055,671.5060387,7.699424268,9.001672055,0.261269001,-5879.708016,46.75963431,854.4844981,7.229184069,1648.565067,95.25199895,6.365176619,1318.633808,67.19115036,24.60502249
101,15.6,6.6,5.4,6.8,5.9,2.7,52.8,7.1,98.9,0,4.8,90,6,4.4,11.3,19,4,7.5,3,2.7,10.7,5.7,14.4,1.6,76.313,8.3601,12.433,1.5005,1.3934,58.6803,0,0,4.346885597,20.14389289,0,11.08683563,2.611047727,0,1.171708548,0,28.77876662,0.228382966,2687.817359,16.94562712,-29.97514114,2.721494322,6.20621897,0.10548033,3214.617539,18.72655139,-32.99200695,2.638321855,1803.67,106.1,6.73,1421.72,72.15,24.26
103,13.3,0.3,1.6,3.7,4.4,1.7,46.7,0.9,90.6,0,8.9,86.4,0.4,2.9,9.4,14,3.6,7.5,2.1,2.1,9.3,3.8,12.3,1.1,71.6767,3.1396,22.9125,0,2.2712,53.5678,0.107826092,3.727645757,6.257430669,11.15867309,0,1.251747674,16.91462032,0,3.700278704,3.644548209,21.92174624,0.063083997,875.6647063,4.542990034,144.3945638,0.769976932,7.302600471,0.028278451,1209.82595,5.029696185,192.3172354,0.731437021,1803.67,106.1,6.73,1421.72,72.15,24.26
317.03,3.4,3.1,2.2,5.9,2.9,4.1,33,1.1,99.5,0,7.7,69.6,0,1.4,11.6,15.4,4.7,7.6,2.4,2.3,9.2,3.8,13.1,1.2,75.1295,4.525,20.3454,0,0,48.3998,0,3.428058375,5.519353913,25.04045261,0,0.094902549,3.608508252,0.062903135,0,0,27.21795068,0.0095293,1094.274444,0.639240713,207.4924316,0.121685135,8.719015124,0.00397904,1322.744721,0.711351487,238.4652695,0.111311619,1255.961095,193.2491048,8.152858527,1005.496457,167.4837864,25.73278918
317.04,3.5,3.3,1.4,8.9,3.7,3.1,30.8,1.1,99.7,0,7.9,76.3,0,3.6,11.9,16.5,4.8,7.2,2.5,2.2,7.9,4.6,12.5,1.2,76.2924,4.2324,17.6167,1.5149,0.3436,47.8626,0,3.952011862,28.0940665,5.573338729,0,0,3.985598428,0.112680946,0,0,17.19266944,0.0181077,411.7028217,1.355365409,-10.80088297,0.215260376,4.646269131,0.008436654,584.8906955,1.496585737,-13.61543619,0.209063415,691.2386645,3.01232059,4.958033812,485.2770435,3.01232059,17.75826153
